,AbsTimeGained,Cured,IndefiniteControl,InitialTumourSize,NCycles,RFrac,RelTimeGained,TimeToFailure,TreatmentBranch
0,,False,False,0.25,,0.1,,106.0,MTD
1,0.0,False,False,0.25,0.0,0.1,0.0,106.0,0.5
2,,False,False,0.25,,0.01,,207.0,MTD
3,3.0,False,False,0.25,1.0,0.01,1.4492753623188406,210.0,0.5
4,,False,False,0.25,,0.001,,296.0,MTD
5,19.0,False,False,0.25,2.0,0.001,6.418918918918918,315.0,0.5
6,,False,False,0.35,,0.1,,120.0,MTD
7,0.0,False,False,0.35,0.0,0.1,0.0,120.0,0.5
8,,False,False,0.35,,0.01,,224.0,MTD
9,11.0,False,False,0.35,1.0,0.01,4.910714285714286,235.0,0.5
10,,False,False,0.35,,0.001,,314.0,MTD
11,36.0,False,False,0.35,2.0,0.001,11.464968152866243,350.0,0.5
12,,False,False,0.45,,0.1,,139.0,MTD
13,0.0,False,False,0.45,0.0,0.1,0.0,139.0,0.5
14,,False,False,0.45,,0.01,,246.0,MTD
15,20.0,False,False,0.45,1.0,0.01,8.130081300813007,266.0,0.5
16,,False,False,0.45,,0.001,,335.0,MTD
17,59.0,False,False,0.45,2.0,0.001,17.611940298507463,394.0,0.5
18,,False,False,0.55,,0.1,,166.0,MTD
19,0.0,False,False,0.55,0.0,0.1,0.0,166.0,0.5
20,,False,False,0.55,,0.01,,273.0,MTD
21,36.0,False,False,0.55,1.0,0.01,13.186813186813188,309.0,0.5
22,,False,False,0.55,,0.001,,361.0,MTD
23,91.0,False,False,0.55,2.0,0.001,25.20775623268698,452.0,0.5
24,,False,False,0.65,,0.1,,206.0,MTD
25,0.0,False,False,0.65,0.0,0.1,0.0,206.0,0.5
26,,False,False,0.65,,0.01,,310.0,MTD
27,61.0,False,False,0.65,1.0,0.01,19.67741935483871,371.0,0.5
28,,False,False,0.65,,0.001,,397.0,MTD
29,138.0,False,False,0.65,2.0,0.001,34.76070528967254,535.0,0.5
30,,False,False,0.75,,0.1,,278.0,MTD
31,0.0,False,False,0.75,0.0,0.1,0.0,278.0,0.5
32,,False,False,0.75,,0.01,,369.0,MTD
33,104.0,False,False,0.75,1.0,0.01,28.184281842818425,473.0,0.5
34,,False,False,0.75,,0.001,,452.0,MTD
35,211.0,False,False,0.75,2.0,0.001,46.68141592920354,663.0,0.5
